lat,lon,uid,aqi,name,time
55.9425,-3.281111,9580,13,"Edinburgh St John's Road, United Kingdom",2023-08-09T02:00:00+09:00
51.374264,0.54797,3169,19,"Chatham Roadside, United Kingdom",2023-08-09T02:00:00+09:00
51.456357,0.040725,7957,30,"Greenwich - Westhorne Avenue, United Kingdom",2023-08-09T02:00:00+09:00
52.411563,-1.560228,8913,15,"Coventry Allesley, United Kingdom",2023-08-09T02:00:00+09:00
53.37287,-3.022722,3221,26,"Wirral Tranmere, United Kingdom",2023-08-09T02:00:00+09:00
53.54914,-2.638139,3220,30,"Wigan Centre, United Kingdom",2023-08-09T02:00:00+09:00
55.944079,-4.734421,10098,10,"Greenock A8 Roadside, United Kingdom",2023-08-09T02:00:00+09:00
53.036124999831,-7.2886750003803,13399,17,"Portlaoise, Co. Laois, Ireland",2023-08-09T02:00:00+09:00
55.137443,-7.456503,13367,11,"Buncranna, Co. Donegal, Ireland",2023-08-09T04:00:00+09:00
50.37167,-4.142361,3202,17,"Plymouth Centre, United Kingdom",2023-08-09T02:00:00+09:00
55.938253,-4.317753,5981,10,"East Dunbartonshire Milngavie , United Kingdom",2023-08-09T03:00:00+09:00
51.57661,0.030858,8918,10,"Redbridge - Gardner Close, United Kingdom",2023-08-09T02:00:00+09:00
55.836203,-4.508783,9583,15,"Renfrewshire Johnston, United Kingdom",2023-08-09T02:00:00+09:00
